Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1012,42,15,6.0,9.0,Accept,5.77,1.0,0.34
1012,43,9,2.7,6.3,Accept,2.24,0.9,0.36
1012,44,9,4.5,4.5,Accept,4.14,0.98,0.34
1012,46,12,4.2,7.8,Accept,3.79,0.98,0.39
1012,47,15,3.0,12.0,Accept,0.62,0.65,0.38
1012,48,9,2.7,6.3,Accept,2.51,0.92,0.32
1012,49,12,2.4,9.6,Reject,1.14,0.76,0.32
1012,50,9,1.8,7.2,Reject,1.14,0.76,0.28
1012,51,15,6.0,9.0,Accept,5.46,1.0,0.26
1013,1,18,9.0,9.0,Accept,9.0,1.0,0.5
1013,4,9,1.8,7.2,Reject,-0.63,0.35,0.5
1013,5,9,2.7,6.3,Accept,1.81,0.86,0.41
